Business_Name,Business_Address,License_Type,City,State,Latitude,Longitude,,,
ACZ SPIRITS INC. DBA CITY WINE,347 S COLORADO BLVD,Retail,Denver,CO,39.7102681,-104.9411098,,,
PARK BURGER,211 S HOLLY ST,Hotel / Restaurant,Denver,CO,39.7128364,-104.9225069,,,
MADDIE'S RESTAURANT,2423 S DOWNING ST,Hotel / Restaurant,Denver,CO,39.6723774,-104.9738648,,,
YOSEMITE CONOCO,8900 E HAMPDEN AVE,Retail,Denver,CO,39.6525455,-104.884355,,,
SOOPER B LIQUORS,100 S BROADWAY ,Retail,Denver,CO,39.7146643,-104.9872722,,,
ELLA BLISS BEAUTY BAR,640 BROADWAY ,Hotel / Restaurant,Denver,CO,39.7263111,-104.9871467,,,
YAZOO BBQ COMPANY,2150 BROADWAY ,Hotel / Restaurant,Denver,CO,39.7519866,-104.9871467,,,
LOWRY ELEMENTARY,7711 E ACADEMY BLVD,Special Events,Denver,CO,39.7210879,-104.8952687,,,
LAS CARAS MEXICAN GRILL,3333 S TAMARAC DR UNIT T ,Hotel / Restaurant,None,None,39.6563601,-104.9009711,,,
DIVE INN,1380 S BROADWAY ,Tavern,Denver,CO,39.6914491,-104.987101,,,
THE SPORTSBOOK BAR & GRILL,266 S DOWNING STUNIT B ,Hotel / Restaurant,Denver,CO,39.7117544,-104.9728669,,,
AB & P LIQUORS,1472 S BROADWAY ,Retail,Denver,CO,39.6898212,-104.9871923,,,
GENNAROS,2598 S BROADWAY ,Hotel / Restaurant,Denver,CO,39.6696214,-104.9873293,,,
D'CORAZON,1530 BLAKE STUNIT C ,Hotel / Restaurant,None,None,39.7499021,-104.9995395,,,
DRINK'S LIQUOR,3615 W COLFAX AVE,Retail,Denver,CO,39.7405371,-105.0351714,,,
ROCKY MOUNTAIN ROLLERGIRLS,2375 S DELAWARE ST,Special Events,Denver,CO,39.6735881,-104.9924062,,,
MILE HI STADIUM CLUB INC,1801 BRYANT ST UNIT 400 ,Special Events,Denver,CO,37.7643049,-122.4103826,,,
WALGREENS #18391,2870 S COLORADO BLVD,Retail,Denver,CO,39.6642399,-104.9398892,,,
MALMART CONOCO,3400 COLORADO BLVD,Retail,Denver,CO,39.654114,-104.939966,,,
GOLDEN TRIANGLE WINE & SPIRITS,1135 BROADWAY ST,Retail,Denver,CO,39.734548,-104.987714,,,
SECOND STAR TO THE RIGHT CHILDREN'S BOOKSTORE,4353 N TENNYSON ST,Arts,Denver,CO,39.775746,-105.0442575,,,
MELLOW MUSHROOM,1201 16TH STSUITE 108 ,Hotel / Restaurant,Denver,CO,39.7491066,-104.9969853,,,
FISH HOSTEL,1217 20TH ,Tavern,Denver,CO,39.7526381,-104.9919626,,,
UNCLE JOE'S A HONG KONG BISTRO,891 14TH ST 100 ,Hotel / Restaurant,Denver,CO,39.7445039,-104.9958657,,,
VINUE FOOD AND WINE BAR,2817 E 3RD AVE UNIT A ,Hotel / Restaurant,Denver,CO,39.7212396,-104.954297,,,
HUMMUS & PITA,1600 CHAMPA STSUITE 1-825 ,Hotel / Restaurant,Denver,CO,39.7465976,-104.9934063,,,
PINEY LIQUORS,5135 N CHAMBERS RD UNIT F ,Retail,Denver,CO,39.7850816,-104.8098061,,,
GOOSETOWN TAVERN,3242 E COLFAX AVE,Hotel / Restaurant,Denver,CO,39.7399821,-104.9486049,,,
SKILLSUSA COLORADO,7711 E ACADEMY BLVD,Special Events,Denver,CO,39.7210879,-104.8952687,,,
COLUMBINE STEAK HOUSE & LOUNGE,300 N FEDERAL BLVD,Hotel / Restaurant,Denver,CO,39.7213094,-105.0248074,,,
AVENUE GRILL,630 E 17TH AVE,Hotel / Restaurant,Denver,CO,39.7430891,-104.9789081,,,
TASTE OF INDIA,901 S ONEIDA ST,Hotel / Restaurant,Denver,CO,39.700025,-104.9085213,,,
"GRANT AVENUE COMMUNITY CENTER & SACRED PLACE, INC",216 S GRANT ST,Special Events,Denver,CO,39.7127211,-104.9837006,,,
BLAKE STREET TAVERN,2301 BLAKE ST,Tavern,Denver,CO,39.7575248,-104.9906841,,,
JOY WINE AND SPIRITS,1302 E 6TH AVE,Retail,None,None,39.7254105,-104.9714857,,,
TONY ROMAS/ MY EXPRESS GRILL/ AL FRESCO/ CANTINA LAREDO,1020 15TH ST,Hotel / Restaurant,Denver,CO,39.7462802,-104.9968463,,,
FIRESIDE LOUNGE-RAMADA INN,2601 ZUNI ST,Hotel / Restaurant,Denver,CO,39.7554397,-105.0174115,,,
CATFISH HAVEN OF DENVER,4650 TOWER RDUNIT 108-110 ,Hotel / Restaurant,Denver,CO,39.7812176,-104.7713739,,,
THE GOODS,2550 E COLFAX AVE,Hotel / Restaurant,Denver,CO,39.7397941,-104.9566365,,,
"SO ALL MAY EAT, INC",144 W COLFAX AVE,Special Events,Denver,CO,39.7396815,-104.989543,,,
SYRUP DOWNTOWN,999 18TH STSUITE 105 ,Hotel / Restaurant,Denver,CO,39.7495213,-104.9913688,,,
